"","endtime","up_down","end_fitness","status","B_V","C_V","p_val","mu_M","alpha_1","R_Modifier"
"1",46.1,"up",52.2284824485539,"success",10,0.1,1,1,1,1
"2",40,"up",47.6552890177788,"success",11,0.1,1,1,1,1
"3",35.7,"up",44.43087172806,"success",12,0.1,1,1,1,1
"4",32.5,"up",42.064408753066,"success",13,0.1,1,1,1,1
"5",30,"up",40.2597813571984,"success",14,0.1,1,1,1,1
"6",28,"up",38.860004184528,"success",15,0.1,1,1,1,1
"7",26.3,"up",37.7142167288011,"success",16,0.1,1,1,1,1
"8",24.9,"up",36.8060808682315,"success",17,0.1,1,1,1,1
"9",23.6,"up",35.9997200062212,"success",18,0.1,1,1,1,1
"10",22.6,"up",35.4019354660046,"success",19,0.1,1,1,1,1
"11",21.6,"up",34.8298778170321,"success",20,0.1,1,1,1,1
"12",20.8,"up",34.3893608186972,"success",21,0.1,1,1,1,1
"13",20,"up",33.9655149611914,"success",22,0.1,1,1,1,1
"92",28.5,"up",35.998356497846,"success",10,0.1,1,1,2,1
"93",25.1,"up",33.6825253111711,"success",11,0.1,1,1,2,1
"94",22.7,"up",32.247290896655,"success",12,0.1,1,1,2,1
"95",20.9,"up",31.3134241395338,"success",13,0.1,1,1,2,1
"96",19.4,"up",30.6576113061808,"success",14,0.1,1,1,2,1
"97",18.1,"up",30.1777882420097,"success",15,0.1,1,1,2,1
"98",17.1,"up",29.8319836986385,"success",16,0.1,1,1,2,1
"99",16.2,"up",29.5588238699334,"success",17,0.1,1,1,2,1
"100",15.4,"up",29.3394865977581,"success",18,0.1,1,1,2,1
"101",14.7,"up",29.1608664431293,"success",19,0.1,1,1,2,1
"183",64.3,"up",67.0589709002863,"success",10,0.1,1,1,0.666666666666667,1
"184",55.3,"up",60.9815345669454,"success",11,0.1,1,1,0.666666666666667,1
"185",49.1,"up",56.4748899009991,"success",12,0.1,1,1,0.666666666666667,1
"186",44.5,"up",53.077247228577,"success",13,0.1,1,1,0.666666666666667,1
"187",41,"up",50.4938195227471,"success",14,0.1,1,1,0.666666666666667,1
"188",38.1,"up",48.3604320303671,"success",15,0.1,1,1,0.666666666666667,1
"189",35.8,"up",46.6909266933598,"success",16,0.1,1,1,0.666666666666667,1
"190",33.8,"up",45.2525775692407,"success",17,0.1,1,1,0.666666666666667,1
"191",32.1,"up",44.0482590102067,"success",18,0.1,1,1,0.666666666666667,1
"192",30.7,"up",43.0787601859858,"success",19,0.1,1,1,0.666666666666667,1
"193",29.4,"up",42.1858667678828,"success",20,0.1,1,1,0.666666666666667,1
"194",28.3,"up",41.4485610391904,"success",21,0.1,1,1,0.666666666666667,1
"195",27.3,"up",40.7875649588057,"success",22,0.1,1,1,0.666666666666667,1
"196",26.4,"up",40.2025961996317,"success",23,0.1,1,1,0.666666666666667,1
"197",25.6,"up",39.6933106574541,"success",24,0.1,1,1,0.666666666666667,1
"274",NA,"up",13.1302801247066,"success",11,0.1,1,1,0.285714285714286,1
"275",NA,"up",13.4447515008602,"success",12,0.1,1,1,0.285714285714286,1
"276",95.9,"up",73.8644848210559,"success",13,0.1,1,1,0.285714285714286,1
"277",87.5,"up",74.2739067316712,"success",14,0.1,1,1,0.285714285714286,1
"278",80.9,"up",74.4901163108934,"success",15,0.1,1,1,0.285714285714286,1
"279",75.6,"up",74.3574406240235,"success",16,0.1,1,1,0.285714285714286,1
"280",71.3,"up",73.8296592363416,"success",17,0.1,1,1,0.285714285714286,1
"281",67.6,"up",72.929055700847,"success",18,0.1,1,1,0.285714285714286,1
"282",64.4,"up",71.7755230096956,"success",19,0.1,1,1,0.285714285714286,1
"283",61.7,"up",70.5535174863979,"success",20,0.1,1,1,0.285714285714286,1
"284",59.3,"up",69.2969288532503,"success",21,0.1,1,1,0.285714285714286,1
"285",57.2,"up",68.0956886567217,"success",22,0.1,1,1,0.285714285714286,1
"286",55.4,"up",67.0141394209062,"success",23,0.1,1,1,0.285714285714286,1
"287",53.7,"up",65.9428257327261,"success",24,0.1,1,1,0.285714285714286,1
"288",52.2,"up",64.9772672181782,"success",25,0.1,1,1,0.285714285714286,1
"289",50.8,"up",64.055138372399,"success",26,0.1,1,1,0.285714285714286,1
"290",49.6,"up",63.2660413486965,"success",27,0.1,1,1,0.285714285714286,1
"291",48.4,"up",62.4558431304214,"success",28,0.1,1,1,0.285714285714286,1
"292",47.4,"up",61.7917287986989,"success",29,0.1,1,1,0.285714285714286,1
"293",46.4,"up",61.1134409862402,"success",30,0.1,1,1,0.285714285714286,1
"294",45.5,"up",60.5057160902449,"success",31,0.1,1,1,0.285714285714286,1
"295",44.7,"up",59.9709509711336,"success",32,0.1,1,1,0.285714285714286,1
"296",43.9,"up",59.4270347639337,"success",33,0.1,1,1,0.285714285714286,1
"365",13,"up",25.9766027308195,"success",11,0.1,1,1,48,1
"1100",0,"0",0,"Fail",1,0.1,1,1,1,1
"2100",0,"0",0,"Fail",2,0.1,1,1,1,1
"3100",0,"0",0,"Fail",3,0.1,1,1,1,1
"455",0,"0",0,"Fail",4,0.1,1,1,1,1
"510",0,"0",0,"Fail",5,0.1,1,1,1,1
"610",0,"0",0,"Fail",6,0.1,1,1,1,1
"710",0,"0",0,"Fail",7,0.1,1,1,1,1
"810",0,"0",0,"Fail",8,0.1,1,1,1,1
"910",0,"0",0,"Fail",9,0.1,1,1,1,1
"1010",0,"0",0,"Fail",1,0.1,1,1,2,1
"1110",0,"0",0,"Fail",2,0.1,1,1,2,1
"1210",0,"0",0,"Fail",3,0.1,1,1,2,1
"1310",0,"0",0,"Fail",4,0.1,1,1,2,1
"14",0,"0",0,"Fail",5,0.1,1,1,2,1
"15",0,"0",0,"Fail",6,0.1,1,1,2,1
"16",0,"0",0,"Fail",7,0.1,1,1,2,1
"17",0,"0",0,"Fail",8,0.1,1,1,2,1
"18",0,"0",0,"Fail",9,0.1,1,1,2,1
"19",0,"0",0,"Fail",1,0.1,1,1,0.666666666666667,1
"20",0,"0",0,"Fail",2,0.1,1,1,0.666666666666667,1
"21",0,"0",0,"Fail",3,0.1,1,1,0.666666666666667,1
"22",0,"0",0,"Fail",4,0.1,1,1,0.666666666666667,1
"23",0,"0",0,"Fail",5,0.1,1,1,0.666666666666667,1
"24",0,"0",0,"Fail",6,0.1,1,1,0.666666666666667,1
"25",0,"0",0,"Fail",7,0.1,1,1,0.666666666666667,1
"26",0,"0",0,"Fail",8,0.1,1,1,0.666666666666667,1
"27",0,"0",0,"Fail",9,0.1,1,1,0.666666666666667,1
"28",0,"0",0,"Fail",1,0.1,1,1,0.285714285714286,1
"29",0,"0",0,"Fail",2,0.1,1,1,0.285714285714286,1
"30",0,"0",0,"Fail",3,0.1,1,1,0.285714285714286,1
"31",0,"0",0,"Fail",4,0.1,1,1,0.285714285714286,1
"32",0,"0",0,"Fail",5,0.1,1,1,0.285714285714286,1
"33",0,"0",0,"Fail",6,0.1,1,1,0.285714285714286,1
"34",0,"0",0,"Fail",7,0.1,1,1,0.285714285714286,1
"35",0,"0",0,"Fail",8,0.1,1,1,0.285714285714286,1
"36",0,"0",0,"Fail",9,0.1,1,1,0.285714285714286,1
"37",0,"0",0,"Fail",10,0.1,1,1,0.285714285714286,1
"38",0,"0",0,"Fail",1,0.1,1,1,48,1
"39",0,"0",0,"Fail",2,0.1,1,1,48,1
"40",0,"0",0,"Fail",3,0.1,1,1,48,1
"41",0,"0",0,"Fail",4,0.1,1,1,48,1
"42",0,"0",0,"Fail",5,0.1,1,1,48,1
"43",0,"0",0,"Fail",6,0.1,1,1,48,1
"44",0,"0",0,"Fail",7,0.1,1,1,48,1
"45",0,"0",0,"Fail",8,0.1,1,1,48,1
"46",0,"0",0,"Fail",9,0.1,1,1,48,1
"1410",10.2166191690899,"up",4.66973662510224,"mort",23,0.1,1,1,1,1
"1510",9.59316554543551,"up",4.13544791631044,"mort",24,0.1,1,1,1,1
"1610",9.12094112044173,"up",3.843318992703,"mort",25,0.1,1,1,1,1
"1710",8.7307024588447,"up",3.55058141897101,"mort",26,0.1,1,1,1,1
"1810",8.3959491861058,"up",3.25785435223622,"mort",27,0.1,1,1,1,1
"1910",8.10248922372748,"up",3.12308658932824,"mort",28,0.1,1,1,1,1
"2010",7.84139415744042,"up",2.90893887484775,"mort",29,0.1,1,1,1,1
"2110",7.60653899375657,"up",2.77288148743946,"mort",30,0.1,1,1,1,1
"2210",7.39345827209715,"up",2.55895707170019,"mort",31,0.1,1,1,1,1
"2310",7.19877585643344,"up",2.4226337783712,"mort",32,0.1,1,1,1,1
"2410",7.01986977353106,"up",2.36265019808385,"mort",33,0.1,1,1,1,1
"2510",6.85463169998664,"up",2.22589089428394,"mort",34,0.1,1,1,1,1
"2610",6.70136676270785,"up",2.16495474109255,"mort",35,0.1,1,1,1,1
"2710",6.55867493983561,"up",2.02834882280559,"mort",36,0.1,1,1,1,1
"2810",6.42537879231271,"up",1.96685317917912,"mort",37,0.1,1,1,1,1
"2910",6.30049126214621,"up",1.90505859515465,"mort",38,0.1,1,1,1,1
"3010",6.18316734112199,"up",1.7693678471165,"mort",39,0.1,1,1,1,1
"3110",6.07266710446945,"up",1.70756952335707,"mort",40,0.1,1,1,1,1
"3210",5.96836180289871,"up",1.64569280280168,"mort",41,0.1,1,1,1,1
"3310",5.86968554654077,"up",1.58379997274444,"mort",42,0.1,1,1,1,1
"3410",5.77615681518945,"up",1.52195395325122,"mort",43,0.1,1,1,1,1
"3510",5.6873291302096,"up",1.46021912786527,"mort",44,0.1,1,1,1,1
"3610",5.60283230046643,"up",1.46926341915292,"mort",45,0.1,1,1,1,1
"3710",5.52231352102552,"up",1.40727854111806,"mort",46,0.1,1,1,1,1
"3810",5.44546416939064,"up",1.34555251870128,"mort",47,0.1,1,1,1,1
"3910",5.37201513363486,"up",1.2841537331134,"mort",48,0.1,1,1,1,1
"4010",5.30171360001689,"up",1.29180778800067,"mort",49,0.1,1,1,1,1
"4110",5.23434021043003,"up",1.23043376689073,"mort",50,0.1,1,1,1,1
"4210",5.16969512161539,"up",1.16954338943938,"mort",51,0.1,1,1,1,1
"4310",5.10759002303505,"up",1.17633501325766,"mort",52,0.1,1,1,1,1
"4410",5.04786568198439,"up",1.11566218111161,"mort",53,0.1,1,1,1,1
"456",4.99036883542497,"up",1.05563876407658,"mort",54,0.1,1,1,1,1
"461",4.93496492151398,"up",1.06165088843602,"mort",55,0.1,1,1,1,1
"47",4.88152804411097,"up",1.00204373138863,"mort",56,0.1,1,1,1,1
"48",4.82994288013903,"up",1.00764656601776,"mort",57,0.1,1,1,1,1
"49",4.78010727773104,"up",0.948566299392527,"mort",58,0.1,1,1,1,1
"50",4.73192488054042,"up",0.953784414566704,"mort",59,0.1,1,1,1,1
"51",4.68530504906821,"up",0.895342570122241,"mort",60,0.1,1,1,1,1
"52",4.64016836009398,"up",0.90019908800235,"mort",61,0.1,1,1,1,1
"53",4.5964354867173,"up",0.842510254884854,"mort",62,0.1,1,1,1,1
"54",4.55403985299674,"up",0.847024253718355,"mort",63,0.1,1,1,1,1
"55",4.51291571601539,"up",0.851475541051311,"mort",64,0.1,1,1,1,1
"56",4.47300138046851,"up",0.794396684424272,"mort",65,0.1,1,1,1,1
"57",4.43424100099939,"up",0.798530380933256,"mort",66,0.1,1,1,1,1
"58",4.39658192219923,"up",0.742452926891178,"mort",67,0.1,1,1,1,1
"59",4.3599747747539,"up",0.746285419254612,"mort",68,0.1,1,1,1,1
"60",4.32437436981077,"up",0.75006975150522,"mort",69,0.1,1,1,1,1
"61",4.28973424370079,"up",0.694878699692801,"mort",70,0.1,1,1,1,1
"62",4.25601808078447,"up",0.698381181678427,"mort",71,0.1,1,1,1,1
"63",4.22318299835784,"up",0.701842116854447,"mort",72,0.1,1,1,1,1
"64",4.19119217670835,"up",0.647684129357629,"mort",73,0.1,1,1,1,1
"65",4.16001823178397,"up",0.650881137310404,"mort",74,0.1,1,1,1,1
"66",4.12962155126548,"up",0.654042167039067,"mort",75,0.1,1,1,1,1
"67",4.09997492416793,"up",0.601066345572055,"mort",76,0.1,1,1,1,1
"68",4.0710474481204,"up",0.603978905062515,"mort",77,0.1,1,1,1,1
"69",4.04281324904976,"up",0.606860694192979,"mort",78,0.1,1,1,1,1
"70",4.01524470018047,"up",0.609712133763616,"mort",79,0.1,1,1,1,1
"71",3.98831863310016,"up",0.5578642749813,"mort",80,0.1,1,1,1,1
"72",3.96200786127862,"up",0.56048512483969,"mort",81,0.1,1,1,1,1
"73",3.93629518221196,"up",0.56307984387908,"mort",82,0.1,1,1,1,1
"74",3.91115600725908,"up",0.565649187216842,"mort",83,0.1,1,1,1,1
"75",3.88656950972682,"up",0.515100648699893,"mort",84,0.1,1,1,1,1
"76",3.86251575544491,"up",0.517455097853931,"mort",85,0.1,1,1,1,1
"77",3.83897946870679,"up",0.519787615955196,"mort",86,0.1,1,1,1,1
"78",3.81593847264172,"up",0.522098757642477,"mort",87,0.1,1,1,1,1
"79",3.79337931895537,"up",0.473019527229964,"mort",88,0.1,1,1,1,1
"80",3.7712841675108,"up",0.475129741890243,"mort",89,0.1,1,1,1,1
"81",3.74963714090281,"up",0.477221508916118,"mort",90,0.1,1,1,1,1
"82",3.72842368363896,"up",0.479295156039461,"mort",91,0.1,1,1,1,1
"83",3.70762953831351,"up",0.4813510415558,"mort",92,0.1,1,1,1,1
"84",3.68724177273246,"up",0.433739282407436,"mort",93,0.1,1,1,1,1
"85",3.66724694617282,"up",0.435609424285491,"mort",94,0.1,1,1,1,1
"86",3.64763246383651,"up",0.437464370659015,"mort",95,0.1,1,1,1,1
"87",3.62838714410664,"up",0.439304355995924,"mort",96,0.1,1,1,1,1
"88",3.60949816129343,"up",0.441129661058822,"mort",97,0.1,1,1,1,1
"89",3.59095429703307,"up",0.395170248746027,"mort",98,0.1,1,1,1,1
"90",3.57274629659322,"up",0.39682327218623,"mort",99,0.1,1,1,1,1
"91",3.55486227805342,"up",0.39846381867546,"mort",100,0.1,1,1,1,1
"102",5.91717996345883,"up",1.7210155764679,"mort",20,0.1,1,1,2,1
"103",5.41846347207178,"up",1.3791103500454,"mort",21,0.1,1,1,2,1
"104",5.07971365528809,"up",1.12002033450102,"mort",22,0.1,1,1,2,1
"105",4.8122413942351,"up",1.00352573152506,"mort",23,0.1,1,1,2,1
"106",4.5895586702344,"up",0.825861324170009,"mort",24,0.1,1,1,2,1
"107",4.39871115681143,"up",0.717158777554694,"mort",25,0.1,1,1,2,1
"108",4.23201670357382,"up",0.670106078225816,"mort",26,0.1,1,1,2,1
"109",4.08440289482891,"up",0.567664955135355,"mort",27,0.1,1,1,2,1
"110",3.9522937922154,"up",0.523101319575604,"mort",28,0.1,1,1,2,1
"111",3.83303073006799,"up",0.479434185421139,"mort",29,0.1,1,1,2,1
"112",3.72459194025273,"up",0.436874211592645,"mort",30,0.1,1,1,2,1
"113",3.62538935132786,"up",0.39562931320889,"mort",31,0.1,1,1,2,1
"114",3.53415920414302,"up",0.355901959541,"mort",32,0.1,1,1,2,1
"115",3.4498760770267,"up",0.317887289821012,"mort",33,0.1,1,1,2,1
"116",3.37169591019839,"up",0.281769137498516,"mort",34,0.1,1,1,2,1
"117",3.29891782212487,"up",0.247715954497834,"mort",35,0.1,1,1,2,1
"118",3.2309507553348,"up",0.25147174510788,"mort",36,0.1,1,1,2,1
"119",3.16729166669199,"up",0.219114576626117,"mort",37,0.1,1,1,2,1
"120",3.10750723848019,"up",0.222307966393675,"mort",38,0.1,1,1,2,1
"121",3.05122756640241,"up",0.191867078222263,"mort",39,0.1,1,1,2,1
"122",2.99812378946176,"up",0.163942019956521,"mort",40,0.1,1,1,2,1
"123",2.94791071926837,"up",0.166222244240714,"mort",41,0.1,1,1,2,1
"124",2.90033604409692,"up",0.168475553894789,"mort",42,0.1,1,1,2,1
"125",2.85517822928481,"up",0.142384371879628,"mort",43,0.1,1,1,2,1
"126",2.81223804814114,"up",0.14425012238992,"mort",44,0.1,1,1,2,1
"127",2.77133677030729,"up",0.120510315947698,"mort",45,0.1,1,1,2,1
"128",2.7323188108952,"up",0.122038192295184,"mort",46,0.1,1,1,2,1
"129",2.69504185680254,"up",0.100706874529942,"mort",47,0.1,1,1,2,1
"130",2.65937758786909,"up",0.101942996595384,"mort",48,0.1,1,1,2,1
"131",2.62521343737607,"up",0.103167590183773,"mort",49,0.1,1,1,2,1
"132",2.5924459148877,"up",0.084015919062972,"mort",50,0.1,1,1,2,1
"133",2.56097854570865,"up",0.0849941623978104,"mort",51,0.1,1,1,2,1
"134",2.53072820496482,"up",0.0859645308119804,"mort",52,0.1,1,1,2,1
"135",2.50161827707561,"up",0.0869266868149297,"mort",53,0.1,1,1,2,1
"136",2.47357800851128,"up",0.0697916687122341,"mort",54,0.1,1,1,2,1
"137",2.44654283172977,"up",0.0705501380076225,"mort",55,0.1,1,1,2,1
"138",2.42045488066706,"up",0.0713028080877101,"mort",56,0.1,1,1,2,1
"139",2.3952594801143,"up",0.0563948729207247,"mort",57,0.1,1,1,2,1
"140",2.37090788314405,"up",0.0569793201318618,"mort",58,0.1,1,1,2,1
"141",2.34735437248201,"up",0.0575596287470811,"mort",59,0.1,1,1,2,1
"142",2.32455699720172,"up",0.0581358753915117,"mort",60,0.1,1,1,2,1
"143",2.30247619005977,"up",0.0587081027020559,"mort",61,0.1,1,1,2,1
"144",2.28107701838412,"up",0.0456855168860786,"mort",62,0.1,1,1,2,1
"145",2.26032715058785,"up",0.0461231440971117,"mort",63,0.1,1,1,2,1
"146",2.24019285582558,"up",0.0465578473456556,"mort",64,0.1,1,1,2,1
"147",2.22064669041491,"up",0.0469897439429353,"mort",65,0.1,1,1,2,1
"148",2.20165995226083,"up",0.0474188979788706,"mort",66,0.1,1,1,2,1
"149",2.1832104569201,"up",0.0362661036177768,"mort",67,0.1,1,1,2,1
"150",2.16527065543132,"up",0.0365886588706139,"mort",68,0.1,1,1,2,1
"151",2.14782129399246,"up",0.03690942132775,"mort",69,0.1,1,1,2,1
"152",2.13084099227076,"up",0.0372282341598167,"mort",70,0.1,1,1,2,1
"153",2.1143076612263,"up",0.0375451112315836,"mort",71,0.1,1,1,2,1
"154",2.09820533194772,"up",0.0281855528551555,"mort",72,0.1,1,1,2,1
"155",2.08251522118948,"up",0.0284194666824984,"mort",73,0.1,1,1,2,1
"156",2.06722119017195,"up",0.0286520673520319,"mort",74,0.1,1,1,2,1
"157",2.0523083443708,"up",0.02888345826425,"mort",75,0.1,1,1,2,1
"158",2.0377581653428,"up",0.02911350664256,"mort",76,0.1,1,1,2,1
"159",2.0235614078434,"up",0.0293425244465235,"mort",77,0.1,1,1,2,1
"160",2.00970005690124,"up",0.0295702137751615,"mort",78,0.1,1,1,2,1
"161",1.99616496277596,"up",0.0217545063470897,"mort",79,0.1,1,1,2,1
"162",1.98294382301666,"up",0.0219192902600894,"mort",80,0.1,1,1,2,1
"163",1.9700222536676,"up",0.0220832299744458,"mort",81,0.1,1,1,2,1
"164",1.95739186927423,"up",0.0222463631758409,"mort",82,0.1,1,1,2,1
"165",1.94504083326454,"up",0.0224087385744916,"mort",83,0.1,1,1,2,1
"166",1.9329589246331,"up",0.02257020837432,"mort",84,0.1,1,1,2,1
"167",1.92113830788917,"up",0.0227310431290209,"mort",85,0.1,1,1,2,1
"168",1.90956916023154,"up",0.0228910897298919,"mort",86,0.1,1,1,2,1
"169",1.89824267285807,"up",0.0164752328461837,"mort",87,0.1,1,1,2,1
"170",1.88715117492234,"up",0.0165886099858598,"mort",88,0.1,1,1,2,1
"171",1.87628544213172,"up",0.0167014501304607,"mort",89,0.1,1,1,2,1
"172",1.86563809240471,"up",0.0168137542361033,"mort",90,0.1,1,1,2,1
"173",1.85520259814835,"up",0.016925591651771,"mort",91,0.1,1,1,2,1
"174",1.84497234079464,"up",0.0170369261045425,"mort",92,0.1,1,1,2,1
"175",1.834940195161,"up",0.0171478081056359,"mort",93,0.1,1,1,2,1
"176",1.82510034330373,"up",0.0172582436492105,"mort",94,0.1,1,1,2,1
"177",1.81544439398756,"up",0.0173681498636609,"mort",95,0.1,1,1,2,1
"178",1.80596940982464,"up",0.0174775788033044,"mort",96,0.1,1,1,2,1
"179",1.79666863858045,"up",0.0122803209752332,"mort",97,0.1,1,1,2,1
"180",1.78753637737373,"up",0.0123560786775504,"mort",98,0.1,1,1,2,1
"181",1.77856781084695,"up",0.0124315285711717,"mort",99,0.1,1,1,2,1
"182",1.76975834230676,"up",0.012506714943448,"mort",100,0.1,1,1,2,1
"198",14.6258264204633,"up",7.91806864964948,"mort",25,0.1,1,1,0.666666666666667,1
"199",13.7139488068333,"up",7.21458556631239,"mort",26,0.1,1,1,0.666666666666667,1
"200",13.0737325690216,"up",6.67469629031059,"mort",27,0.1,1,1,0.666666666666667,1
"201",12.5510522313647,"up",6.29763825284714,"mort",28,0.1,1,1,0.666666666666667,1
"202",12.1032635774899,"up",6.00101141293781,"mort",29,0.1,1,1,0.666666666666667,1
